new_index,author,content,date_time,id,language,number_of_likes,number_of_shares,sentiment
19,taylorswift13,"Ooooooh
Ahhhhhhh

@mirandalambert 
#1989TourGreensboro https://t.co/KVyAvsj2uW",2015-10-22 04:00:00,657044000000000000,en,29015,11307,0
20,taylorswift13,This is a video of @mirandalambert sitting on a throne of men at #1989TourGreensboro 🔥🔥🔥 https://t.co/unV6FvYD7q,2015-10-22 03:54:00,657042000000000000,en,27873,10261,0
21,taylorswift13,John Green is my favorite writer and @Caradelevingne @halstonsage @natandalex are some of my favorite people. Can't WAIT to see Paper Towns.,2015-07-23 20:34:00,624317000000000000,en,82216,34429,0
22,taylorswift13,"At the airport about to leave for Europe, listening to 'See You Again' and thinking about how much I'll miss my cats. http://t.co/3yDZo3TPLA",2015-06-17 21:28:00,611284000000000000,en,79241,29355,1
23,taylorswift13,"Whale Squad, adventures on the open ocean. http://t.co/FuMTqENo3R",2015-01-24 02:34:00,558815000000000000,en,18974,8415,0
24,taylorswift13,"In the dead of night,
Your eyes so green...

http://t.co/JhUZG7ADJ4
#TS1989 
#taylurking http://t.co/2oFJYVsVc9",2014-11-03 00:45:00,529072000000000000,en,7640,2880,1
25,taylorswift13,"So @markromanek just sent me this and I'm hyperventilating with joy over it. Thank you, Dimensions Dance. http://t.co/hdH8kUch4n",2014-08-23 10:38:00,503129000000000000,en,14650,8762,0
26,taylorswift13,"Well hello again, summer.
And green grass
Cloudless blue skies.
And dancing in the afternoon
for no reason at all. http://t.co/KO1SI7EvUN",2013-05-30 19:36:00,340190000000000000,en,30411,25715,1
27,taylorswift13,@AshleyMGreene that was really nice!!! Thanks :),2012-03-23 16:19:00,183226000000000000,en,757,1728,0
28,BarackObama,The landmark #ParisAgreement enters into force today—we must keep up the momentum to #ActOnClimate. https://t.co/Cyw5Udaoro,2016-11-04 18:25:00,794606000000000000,en,14168,4486,1
29,BarackObama,Climate change is happening now. Denial is dangerous. https://t.co/0Nlf8Fst4u,2016-10-27 21:31:00,791754000000000000,en,5244,2218,1
30,BarackObama,New report: Renewable energy installations are beating fossil fuel installations for the first time. https://t.co/MMhIdu4jzt #ActOnClimate,2016-10-27 17:04:00,791687000000000000,en,3616,1339,1
31,BarackObama,We can't afford to let this be the new normal. https://t.co/nJzyfz2Zlw #ActOnClimate,2016-10-18 20:00:00,788470000000000000,en,3905,1752,1
32,BarackObama,Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: https://t.co/JZnvlb080l #ActOnClimate,2016-10-18 18:25:00,788446000000000000,en,2398,620,1
33,BarackObama,"Climate change is real, but so is the progress we're making to #ActOnClimate. Let's keep it up. https://t.co/GOFKXQblGJ",2016-10-18 17:10:00,788427000000000000,en,7691,1911,1
34,BarackObama,This is just the latest step forward in the push to #ActOnClimate. https://t.co/UDInkidKkP,2016-10-18 15:45:00,788406000000000000,en,2897,731,1
35,BarackObama,"Wildfires in the next few decades could be ""unrecognizable"" to previous generations—because of climate change: https://t.co/vM3xM6mCf3",2016-10-17 21:07:00,788124000000000000,en,2760,1079,2
36,BarackObama,Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: https://t.co/7MDQGYgX2u #ActOnClimate,2016-10-14 17:31:00,786983000000000000,en,2428,649,1
37,BarackObama,"Cynics, take note: When we #ActOnClimate, we build a stronger future. https://t.co/wHHMdo2ro6",2016-10-14 16:18:00,786964000000000000,en,3815,1014,1
38,BarackObama,Support the bold steps we're taking against climate change. Say you're ready to #ActOnClimate: https://t.co/EtwjaKgYFW,2016-10-12 19:43:00,786291000000000000,en,1979,496,1
39,BarackObama,"Last week, more than 190 countries reached a landmark deal to reduce carbon pollution from aviation. https://t.co/LRYkXVw3rO #ActOnClimate",2016-10-12 17:57:00,786265000000000000,en,3283,855,1
40,BarackObama,Let's leave our children and grandchildren a planet that's healthier than the one we have today. #ActOnClimate https://t.co/mP29bpRdU9,2016-10-12 16:35:00,786244000000000000,en,12072,3692,1
41,BarackObama,Climate change's effects are devastating. Denying the science behind it does nothing to help. https://t.co/Rww40wwgD9 #ActOnClimate,2016-10-12 15:25:00,786226000000000000,en,3211,1225,1
42,BarackObama,ICYMI: Read about the historic #ParisAgreement and what it means for the fight to #ActOnClimate. https://t.co/eMefgFZk53,2016-10-06 18:35:00,784100000000000000,en,2402,687,1
43,BarackObama,The cost of clean energy technology dropped significantly over the last eight years. Get the chart: https://t.co/fuGQMXeRYb #ActOnClimate,2016-10-06 15:48:00,784058000000000000,en,3058,863,1
44,BarackObama,This historic step in the fight to #ActOnClimate came faster than anyone predicted. https://t.co/W2rtcNXkI7,2016-10-05 21:30:00,783781000000000000,en,5324,1299,1
45,BarackObama,"""Today is a historic day in the fight to protect our planet for future generations."" —President Obama #ActOnClimate https://t.co/x3dJSCYUcj",2016-10-05 20:44:00,783770000000000000,en,5922,1728,1
46,BarackObama,LIVE: President Obama is delivering a statement on the Paris Climate Agreement. https://t.co/mNpQ6QyA91,2016-10-05 19:30:00,783751000000000000,en,1693,442,2
47,BarackObama,Never underestimate the strength and resilience of the American economy. https://t.co/OFTN2FlRtq,2016-09-29 16:33:00,781532000000000000,en,5410,1301,1
48,BarackObama,"Another record broken: 16 months in a row of undeniable, record-breaking heat.
https://t.co/qMAH7nFf5I #ActOnClimate",2016-09-23 15:57:00,779349000000000000,en,2601,1423,1
49,BarackObama,We can't sit idly by. Climate change is likely to threaten our national security—we must act now.… https://t.co/6QQmpf27W0,2016-09-22 21:21:00,779068000000000000,en,4906,1522,1
50,BarackObama,"""Their right to inherit a healthy planet is a sacred responsibility."" —President Obama #ActOnClimate https://t.co/MYumi6xiIW",2016-09-21 16:34:00,778633000000000000,en,4110,1312,1
51,BarackObama,Communities are already experiencing the effects of climate change—we can't afford not to act. Take a look:… https://t.co/sEjVzKqhsw,2016-09-21 14:57:00,778609000000000000,en,5479,1752,1
52,BarackObama,"When we protect our lands and waters, it helps us protect our climate for future generations. #ActOnClimate https://t.co/8tygZI0TDR",2016-09-15 21:24:00,776532000000000000,en,15725,4577,1
53,BarackObama,These are records we can't keep breaking. We must work together to #ActOnClimate. https://t.co/sTxNR10sjK,2016-09-12 17:36:00,775388000000000000,en,6400,3084,1
54,BarackObama,Meaningful action on climate change can't wait. President Obama explains why in this @nytimes interview. https://t.co/zbaDcpztIW,2016-09-12 15:09:00,775351000000000000,en,4106,1282,1
55,BarackObama,"We need to keep up efforts to fight climate change at every level—locally, nationally, globally. #ActOnClimate https://t.co/L10qdkgPDg",2016-09-09 21:05:00,774353000000000000,en,10411,3547,1
56,BarackObama,We must take bold steps now—climate change is already impacting millions of people. https://t.co/ZWBgt0XEWt #ActOnClimate,2016-09-09 15:08:00,774263000000000000,en,3912,1352,1
57,BarackObama,Rising sea levels are already flooding homes and roads along America's coasts. The time to #ActOnClimate is now. https://t.co/OplSsyTHEX,2016-09-07 21:47:00,773639000000000000,en,4458,1827,1
58,BarackObama,"The Paris Climate Agreement is a big deal in the fight against climate change—and now, a big step closer to reality. https://t.co/5vd6n0BFgG",2016-09-06 20:19:00,773254000000000000,en,3800,1179,1
59,BarackObama,The United States is leading the way in the fight to #ActOnClimate. https://t.co/vkUMjg6XKc,2016-09-06 18:57:00,773234000000000000,en,2388,570,1
60,BarackObama,"Conservation not only protects diverse lands and species, it's also an important part of battling climate change. https://t.co/gjvhHNPFKL",2016-09-06 16:58:00,773204000000000000,en,4144,1228,1
61,BarackObama,"""When we protect our lands, it helps us protect the climate for the future."" —President Obama #ActOnClimate https://t.co/qdoCgYPQom",2016-09-06 15:03:00,773175000000000000,en,4628,1289,1
62,BarackObama,"When Americans stand together, there's no challenge too great to solve—not even climate change. #ActOnClimate today: https://t.co/5mqlv3ZXas",2016-09-02 19:59:00,771800000000000000,en,2807,694,1
63,BarackObama,"Rhode Island just built America's first offshore wind farm, which will create clean energy and fight climate change. https://t.co/76pwc0JM3m",2016-08-24 16:30:00,768486000000000000,en,7392,2953,1
64,BarackObama,America's leadership in the fight against climate change pays off in more ways than one. #ActOnClimate https://t.co/tGK9Uu5l0C,2016-08-24 15:17:00,768467000000000000,en,6354,1568,1
65,BarackObama,Another record broken. https://t.co/sw9XGUXWqX #ActOnClimate,2016-08-19 19:16:00,766715000000000000,en,2961,1538,1
66,BarackObama,Our children's health and prosperity is too important to ignore the consequences of climate change. Speak out now: https://t.co/rNIKnWI2K2,2016-08-19 17:14:00,766685000000000000,en,2851,807,1
67,BarackObama,Climate change is not too big of a challenge to solve. We're making good headway. #ActOnClimate https://t.co/s2yzyDqvNR,2016-08-19 15:17:00,766655000000000000,en,8741,2118,1
68,BarackObama,“Each month just gives another data point that makes the evidence stronger that we’re changing the climate.” https://t.co/QbFZXySQ86,2016-08-18 21:59:00,766394000000000000,en,6269,3135,1
69,BarackObama,Fifteen months in a row of record-breaking heat is a signal that can't be denied: We need to #ActOnClimate. https://t.co/pXnbiNYFP9,2016-08-18 20:57:00,766378000000000000,en,11445,5299,1
70,BarackObama,"""There's no doubt that America has become a global leader in the fight against climate change."" —President Obama https://t.co/nuI6cbADqm",2016-08-13 18:56:00,764536000000000000,en,5876,1231,1
71,BarackObama,"In the weekly address, President Obama discusses progress made in combating climate change—and what's left to do. https://t.co/nuI6cbADqm",2016-08-13 17:44:00,764518000000000000,en,3808,823,1
72,BarackObama,The Clean Power Plan will improve the future health and well-being of our children and families. #ActOnClimate https://t.co/Kw09SczeRv,2016-08-12 20:08:00,764192000000000000,en,5412,1411,1
73,BarackObama,"20 million more insured ✔️ 
15 million new jobs ✔️ 
A global climate agreement ✔️ 

Let's keep it going: https://t.co/bs3lO6xPr8",2016-08-11 18:51:00,763810000000000000,en,3993,1003,1
74,BarackObama,President Obama has done more to improve energy efficiency than any previous U.S. leader. https://t.co/RnYnwaopaG #ActOnClimate,2016-08-08 21:00:00,762755000000000000,en,6308,1647,1
75,BarackObama,Adding clean energy jobs is another way the U.S. is continuing to #ActOnClimate. https://t.co/EbM6XUrDRW,2016-08-08 19:41:00,762735000000000000,en,3892,991,1
76,BarackObama,Show your support for bold action to fight climate change. https://t.co/DnEYpzMPrY #ActOnClimate,2016-08-08 18:13:00,762713000000000000,en,1812,516,1
77,BarackObama,Americans across the country agree that we need bold action in the fight against climate change. #ActOnClimate https://t.co/znuajZ6CmE,2016-08-08 16:40:00,762690000000000000,en,7505,1748,1
78,BarackObama,These extreme records aren't a fluke—climate change is largely caused by human activity. https://t.co/vENHkR9Exl #ActOnClimate,2016-08-08 15:16:00,762669000000000000,en,4079,1841,1
79,BarackObama,The Clean Power Plan is one of the biggest steps forward in the fight to #ActOnClimate. https://t.co/UBXPe98NUF,2016-08-04 16:22:00,761236000000000000,en,6416,1487,1
80,BarackObama,"From the Clean Power Plan to the Paris Climate Agreement, the U.S. is leading the way in the fight to #ActOnClimate. https://t.co/aBMaZdrgGB",2016-08-03 21:42:00,760954000000000000,en,3814,867,1
81,BarackObama,Today is the one-year anniversary of the Clean Power Plan—show your support in the fight to #ActOnClimate. https://t.co/0knkqAe3oE,2016-08-03 18:35:00,760907000000000000,en,2278,605,1
82,BarackObama,The Clean Power Plan will cut carbon pollution from power plants by 32 percent by 2030. #ActOnClimate https://t.co/UDp2Ti5ji1,2016-08-03 17:11:00,760886000000000000,en,6415,1669,1
83,BarackObama,Our children's health and prosperity is too important to ignore the consequences of climate change. Speak out now: https://t.co/sDgDkRxb6W,2016-07-28 20:41:00,758764000000000000,en,3138,930,1
84,BarackObama,"Wildfire seasons are getting longer, more dangerous, and more expensive. We need to do more to #ActOnClimate. https://t.co/hpHjwknx3v",2016-07-28 19:41:00,758749000000000000,en,3272,1159,1
85,BarackObama,97 percent of climate scientists agree—climate change is real and man-made. Stand up for bold action: https://t.co/F0IC4JUfn1 #ActOnClimate,2016-07-26 16:25:00,757975000000000000,en,3591,1198,1
86,BarackObama,"It's easy to be cynical, but there's no challenge we can't overcome. #ActOnClimate https://t.co/OeUW6YqvLc",2016-07-26 15:13:00,757957000000000000,en,10135,2958,1
87,BarackObama,"For three years in a row, heat records have been broken across the globe. We have to #ActOnClimate now. https://t.co/Ps1Dk0Asqx",2016-07-20 19:34:00,755848000000000000,en,4123,1758,1
88,BarackObama,Add your name if you agree: Climate change is real and it's going to take global action to tackle it. https://t.co/HC4QGNDFWC #ActOnClimate,2016-06-29 22:30:00,748283000000000000,en,3138,906,1
89,BarackObama,A new historic goal in the fight to #ActOnClimate. https://t.co/sAu2fHdxAb,2016-06-29 21:17:00,748264000000000000,en,5650,1496,1
90,BarackObama,Say you support decisive action to tackle climate change. https://t.co/S9gkxn0wpv #ActOnClimate,2016-06-21 20:52:00,745359000000000000,en,1781,533,1
91,BarackObama,Clean energy is here to stay. https://t.co/meQoPVWXtg,2016-06-21 19:47:00,745342000000000000,en,3588,1168,1
92,BarackObama,"Take a look at President Obama's interview with @NatGeo on national parks, climate change and more. https://t.co/xtbFt2XMHI",2016-06-20 16:09:00,744925000000000000,en,2740,783,1
93,BarackObama,Former Energy Secretary @GovRichardson: Why the #TPP will make a difference in fighting climate change. https://t.co/AuWKEGJIGW,2016-06-06 17:00:00,739865000000000000,en,1857,425,1
94,BarackObama,This is the largest annual global increase in renewable power capacity—ever: https://t.co/9Eha0d5gbb #ActOnClimate,2016-06-03 15:57:00,738762000000000000,en,1920,571,1
95,BarackObama,April was the seventh consecutive month of record-high temperatures. We need to #ActOnClimate. https://t.co/C4ca2VOA0a,2016-05-16 21:48:00,732327000000000000,en,3840,2089,1
96,BarackObama,We need to lead this fight. #ActOnClimate https://t.co/ArdxyYdCiN,2016-05-16 16:06:00,732241000000000000,en,2193,672,1
97,BarackObama,Show your support for continued efforts to tackle climate change: https://t.co/q28Wp3Akb6 #ActOnClimate,2016-05-13 21:01:00,731228000000000000,en,1528,468,1
98,BarackObama,Read more about the historic new standards in place to reduce methane pollution: https://t.co/8lq704upzr,2016-05-13 19:53:00,731211000000000000,en,1550,473,1
99,BarackObama,Add your name if you support big steps forward in the fight to tackle climate change: https://t.co/pP1RZtBKnT #ActOnClimate,2016-05-12 19:16:00,730839000000000000,en,1556,480,1
100,BarackObama,The Obama administration just finalized standards to cut methane pollution and improve public health. #ActOnClimate https://t.co/nR2x8UqDM8,2016-05-12 17:37:00,730814000000000000,en,7566,2064,1
101,BarackObama,Good climate change policy and good economic policy can go hand in hand. #ActOnClimate https://t.co/MEDMB870SP,2016-05-03 17:44:00,727554000000000000,en,7293,2261,1
102,BarackObama,Building a clean energy economy is a great way to #ActOnClimate for people across the country. https://t.co/xfdVKh3Zhy,2016-05-02 20:08:00,727228000000000000,en,5139,1392,1
103,BarackObama,Clean air makes for healthier and safer communities. #ActOnClimate https://t.co/uuPdv41v0u,2016-04-29 15:10:00,726066000000000000,en,3776,1061,1
104,BarackObama,"Don't let climate change deniers jeopardize the progress we've made toward a safer, healthier future. Call them out: https://t.co/GV1Stqvdoq",2016-04-28 18:08:00,725749000000000000,en,3033,1245,1
105,BarackObama,Fighting climate change will save Americans money at the gas pump. #ActOnClimate https://t.co/ePl93jLYTU,2016-04-28 15:30:00,725709000000000000,en,3852,988,1
106,BarackObama,Add your name if you support global efforts to tackle climate change: https://t.co/IQJzH7sb2C,2016-04-27 22:20:00,725450000000000000,en,1876,605,1
107,BarackObama,"For the health of our children and grandchildren, we have to #ActOnClimate. https://t.co/pJz7ODyr3p",2016-04-27 20:09:00,725417000000000000,en,4167,1129,1
108,BarackObama,Don't let climate change deniers derail progress—show your support for bold action on climate change: https://t.co/ZeUmitNSUb #ActOnClimate,2016-04-26 20:02:00,725052000000000000,en,1590,654,1
109,BarackObama,The fight to tackle climate change took a big step on Friday with hundreds of countries signing the #ParisAgreement. https://t.co/gk7BWRRBqA,2016-04-26 18:15:00,725026000000000000,en,8541,3052,1
110,BarackObama,ICYMI: The U.S. and more than 170 other nations just signed the #ParisAgreement—the first ever global climate deal. https://t.co/Jlg4q4piDu,2016-04-26 16:29:00,724999000000000000,en,2410,857,1
111,BarackObama,We're already seeing the effects of climate change. Denial is unacceptable. #ActOnClimate https://t.co/k3sphu7KgC,2016-04-25 19:22:00,724680000000000000,en,7208,3039,1
112,BarackObama,Show your support for bold moves to combat climate change—add your name: https://t.co/Wof6TIp08t #ActOnClimate,2016-04-25 17:28:00,724651000000000000,en,1456,493,1
113,BarackObama,Carbon pollution is the biggest contributor to climate change—and President Obama is taking it head on. https://t.co/lZlIAyD9UV,2016-04-25 15:24:00,724620000000000000,en,6165,1991,1
114,BarackObama,We can tackle climate change—but it's going to take all of us working together. #ActOnClimate https://t.co/LEvJFzebLA,2016-04-22 21:53:00,723631000000000000,en,7143,2461,1
115,BarackObama,Bold action on climate change matters. #ActOnClimate https://t.co/fzKtmRyFCQ,2016-04-22 19:34:00,723596000000000000,fr,2384,904,1
116,BarackObama,Say you'll stand up for bold action to fight climate change: https://t.co/fU0rSHhQT1 #ActOnClimate,2016-04-22 18:08:00,723574000000000000,en,1483,531,1
117,BarackObama,The Paris Agreement is a big deal. #ActOnClimate https://t.co/j75MzQKH0V,2016-04-22 16:08:00,723544000000000000,en,3428,1354,1
118,BarackObama,President Obama is investing in a more sustainable future. #ActOnClimate https://t.co/MbDFRg0QcP,2016-04-21 16:21:00,723185000000000000,en,3932,1076,1
119,BarackObama,We can't let climate change deniers derail progress—say you stand for bold action: https://t.co/965Ps8qIfC #ActOnClimate,2016-04-20 19:37:00,722872000000000000,en,1627,597,1
120,BarackObama,Continuing to invest in clean energy like solar power is critical in the fight to #ActOnClimate. https://t.co/wvIKlRDDOD,2016-04-20 17:26:00,722839000000000000,en,6040,1877,1
121,BarackObama,"Last year, wind energy generated enough electricity to power 17.5 million homes: https://t.co/RBMQxG7Pes #ActOnClimate",2016-04-20 16:00:00,722817000000000000,en,1948,635,1
122,BarackObama,Add your name to support bold action to combat climate change: https://t.co/b1d4PFfxyY #ActOnClimate,2016-04-19 22:08:00,722547000000000000,en,1624,548,1
123,BarackObama,Climate change is real—and it's devastating communities across the country. We have #ActOnClimate now. https://t.co/RD8EC74QXZ,2016-04-19 19:26:00,722507000000000000,en,12386,6604,1
124,BarackObama,The wind energy industry keeps growing—here's the latest on its record-setting year: https://t.co/hf4vFdL0ze #ActOnClimate,2016-04-19 17:52:00,722483000000000000,en,1894,615,1
125,BarackObama,Last month continued the streak of record-breaking global temperatures. https://t.co/HQk5xSCCkV #ActOnClimate,2016-04-18 19:55:00,722152000000000000,en,2196,1472,1
126,BarackObama,This is unprecedented. #DoYourJob https://t.co/bAo3uLvDtT,2016-04-18 17:56:00,722122000000000000,en,4920,2068,0
127,BarackObama,Climate change means wildfires are now a continual threat in some parts of the country: https://t.co/uR7S3onk4T #ActOnClimate,2016-04-14 16:14:00,720647000000000000,en,2078,720,1
128,BarackObama,"If we don't #ActOnClimate now, the sea level could rise by more than six feet by the end of the century: https://t.co/xDvYsS3aYA",2016-04-06 15:55:00,717742000000000000,en,3306,1777,1
129,BarackObama,Clean energy currently employs 2.5 million people in the United States. Check it out: https://t.co/ToV5ZYc5kI #ActOnClimate,2016-04-05 22:13:00,717475000000000000,en,3202,1087,1
130,BarackObama,"Marriage equality. 
Obamacare. 
A global climate agreement. 
Push for more progress: https://t.co/aT3bWC5EjY https://t.co/OFqJ3OUjoM",2016-03-31 18:57:00,715614000000000000,en,4506,1033,1
131,BarackObama,Get weekly updates on everything from the #SCOTUS nomination process to climate change: https://t.co/mqDVfWXVbZ https://t.co/Ms5hVDn8se,2016-03-31 16:56:00,715584000000000000,en,1470,362,1
132,BarackObama,This February was so hot that it shattered global records. Check it out: https://t.co/7tkAzF6CT8 #ActOnClimate,2016-03-15 16:42:00,709782000000000000,en,2030,1104,1
133,BarackObama,"By a margin of nearly 2-to-1, Americans believe the Senate should hold hearings on a #SCOTUS nominee: https://t.co/zssLeUT1O3",2016-03-14 20:23:00,709475000000000000,en,3447,1271,1
134,BarackObama,The United States and Canada are joining together to reduce methane pollution. Read more: https://t.co/RfWitsRxpB #ActOnClimate,2016-03-10 23:06:00,708067000000000000,en,3249,1088,1
135,BarackObama,"""U.S. solar seems poised for not just a record year but perhaps a blowout year."" Get the numbers: https://t.co/MfDphKshcl #ActOnClimate",2016-03-08 16:35:00,707243000000000000,en,2247,890,1
136,BarackObama,"We're seeing the fastest rise in sea-levels in nearly 3,000 years: https://t.co/MwO2QKE4GW #ActOnClimate",2016-03-01 20:50:00,704771000000000000,en,5305,2770,1
137,BarackObama,Get the facts on everything from a fair #SCOTUS nomination process to climate change: https://t.co/jCZzreLARW https://t.co/qnB5GLM8eC,2016-03-01 18:37:00,704737000000000000,en,2066,632,1
138,BarackObama,"Thanks to the #RecoveryAct, clean energy investments have created hundreds of thousands of jobs. https://t.co/U82fX6P2nB",2016-02-26 23:08:00,703356000000000000,en,4029,1412,1
139,BarackObama,The impact of climate change in one GIF: https://t.co/tsQOp3cIVn #ActOnClimate,2016-02-19 17:13:00,700730000000000000,en,2743,1455,1
140,BarackObama,It's official: January 2016 was the most abnormally warm month on record. https://t.co/nAGoY6DXuB #ActOnClimate,2016-02-18 18:30:00,700387000000000000,en,2861,2127,1
141,BarackObama,"Read President Obama's thoughts on climate change, technology, and #WomenInSTEM: https://t.co/VRyX8cxFEk https://t.co/IrcnE2T88M",2016-02-12 21:02:00,698251000000000000,en,3460,983,1
142,BarackObama,An increase in solar jobs is good for our economy and our environment. #ActOnClimate https://t.co/g22J3tMhVp,2016-02-09 19:13:00,697136000000000000,en,2777,1053,1
143,BarackObama,Good news: 2015 was another great year for clean energy growth. https://t.co/IoCSX8ybwm #ActOnClimate,2016-02-09 16:38:00,697097000000000000,en,2155,692,1
144,BarackObama,"""The budget I will send to Congress this Tuesday will double funding for clean energy research."" —President Obama https://t.co/Af3mGt8i15",2016-02-06 17:04:00,696017000000000000,en,3467,1132,1
145,BarackObama,"In the weekly address, President Obama discusses how the private-sector is helping in the fight to #ActOnClimate: https://t.co/aDoLLR6Btl",2016-02-06 16:04:00,696001000000000000,en,1958,495,1
146,BarackObama,Scientists agree climate change is man-made—and we can do something about it. https://t.co/8nUjWGSP7f #ActOnClimate,2016-01-27 18:10:00,692409000000000000,en,2083,952,1
147,BarackObama,Take a look at President Obama's latest common-sense step to help fight climate change: https://t.co/rQ0dK9U4Em #ActOnClimate,2016-01-25 20:52:00,691725000000000000,en,1601,652,1
148,BarackObama,Fifteen of the 16 hottest years ever recorded have been in the 21st century. See for yourself: https://t.co/zO0lZfW3Kc #ActOnClimate,2016-01-25 16:20:00,691657000000000000,en,2357,1362,1
149,BarackObama,97 percent of climate scientists agree: Climate change is real and man-made. #ActOnClimate https://t.co/UaCZus7uv6,2016-01-22 18:33:00,690603000000000000,en,9679,4590,1
150,BarackObama,"Fighting climate change: ✔
Creating jobs: ✔
The solar industry is booming. https://t.co/8GYjQkeaTU",2016-01-21 17:57:00,690232000000000000,en,2733,1044,1
151,BarackObama,It's official: Last year was the hottest year on record—by a very wide margin. https://t.co/RbbvWHIeG6 #ActOnClimate,2016-01-20 23:13:00,689949000000000000,en,2050,1135,1
152,BarackObama,President Obama announced a pause on new coal leases on federal lands—a step forward in the fight to #ActOnClimate: https://t.co/boMQbHvImy,2016-01-15 23:37:00,688143000000000000,en,2708,826,1
153,BarackObama,Solar energy jobs have doubled in just five years. https://t.co/pBDPEYCuML #ActOnClimate,2016-01-14 20:37:00,687735000000000000,en,2334,1017,1
154,BarackObama,"""On rooftops from Arizona to New York, solar is saving Americans tens of millions of dollars a year."" —President Obama #ActOnClimate #SOTU",2016-01-13 02:44:00,687103000000000000,en,2114,756,1
155,BarackObama,"""Seven years ago, we made the single biggest investment in clean energy in our history."" —President Obama #SOTU",2016-01-13 02:44:00,687103000000000000,en,1992,604,1
156,BarackObama,"""If anybody still wants to dispute the science around climate change, have at it. You’ll be pretty lonely."" —President Obama #SOTU",2016-01-13 02:42:00,687102000000000000,en,5715,3552,1
157,BarackObama,Global action on climate change is happening—show your support today: https://t.co/UXy7xHlyA5 #ActOnClimate #SOTU,2016-01-13 02:41:00,687102000000000000,en,4637,1971,1
158,BarackObama,We have the responsibility to lead on climate change. #ActOnClimate #SOTU https://t.co/VnoqXVDdFw,2016-01-13 02:40:00,687102000000000000,en,2540,1386,1
159,BarackObama,Another milestone to celebrate for wind power—and plenty of room to grow. https://t.co/YP7rHbfcY7,2016-01-10 22:38:00,686316000000000000,en,2355,758,1
160,BarackObama,LIVE: President Obama is talking about how to make our communities safer by reducing gun violence in America. https://t.co/GGThaBxkO3,2016-01-05 16:43:00,684415000000000000,en,1829,836,-1
